Key,Mode,Component,Palette,PaletteLbl,Element,HexCode,RGB,UsageNotes,Font,SizePts
74,Light,Chart,Sequence to Bad: 5 Steps, 5 Steps,Step 3,#D77F62,"(215, 127, 98)",,,
75,Light,Chart,Sequence to Bad: 5 Steps, 5 Steps,Step 4,#C85D3A,"(200, 93, 58)",,,
76,Light,Chart,Sequence to Bad: 5 Steps, 5 Steps,Step 5,#B33A12,"(179, 58, 18)",,,
77,Light,Chart,Sequence to Bad: Continuous, Continuous,Begin,#DEDEDE,"(222, 222, 222)",,,
78,Light,Chart,Sequence to Bad: Continuous, Continuous,End,#B33A12,"(179, 58, 18)",,,
79,Light,Chart,Sequence to Good: Best,The Best,Step 1,#077890,"(7, 120, 144)",,,
80,Light,Chart,Sequence to Good: 2 Steps, 2 Steps,Step 1,#8BAEB9,"(139, 174, 185)",,,
81,Light,Chart,Sequence to Good: 2 Steps, 2 Steps,Step 2,#077890,"(7, 120, 144)",,,
82,Light,Chart,Sequence to Good: 3 Steps, 3 Steps,Step 1,#A9BEC6,"(169, 190, 198)",,,
83,Light,Chart,Sequence to Good: 3 Steps, 3 Steps,Step 2,#6D9CAC,"(109, 156, 172)",,,
84,Light,Chart,Sequence to Good: 3 Steps, 3 Steps,Step 3,#077890,"(7, 120, 144)",,,
85,Light,Chart,Sequence to Good: 4 Steps, 4 Steps,Step 1,#B6C6CC,"(182, 198, 204)",,,
86,Light,Chart,Sequence to Good: 4 Steps, 4 Steps,Step 2,#8BAEB9,"(139, 174, 185)",,,
87,Light,Chart,Sequence to Good: 4 Steps, 4 Steps,Step 3,#5C93A6,"(92, 147, 166)",,,
88,Light,Chart,Sequence to Good: 4 Steps, 4 Steps,Step 4,#077890,"(7, 120, 144)",,,
89,Light,Chart,Sequence to Good: 5 Steps, 5 Steps,Step 1,#BECBCF,"(190, 203, 207)",,,
90,Light,Chart,Sequence to Good: 5 Steps, 5 Steps,Step 2,#9DB8C1,"(157, 184, 193)",,,
91,Light,Chart,Sequence to Good: 5 Steps, 5 Steps,Step 3,#7AA3B1,"(122, 163, 177)",,,
92,Light,Chart,Sequence to Good: 5 Steps, 5 Steps,Step 4,#508EA2,"(80, 142, 162)",,,
93,Light,Chart,Sequence to Good: 5 Steps, 5 Steps,Step 5,#077890,"(7, 120, 144)",,,
94,Light,Chart,Sequence to Good: Continuous, Continuous,Begin,#DEDEDE,"(222, 222, 222)",,,
95,Light,Chart,Sequence to Good: Continuous, Continuous,End,#077890,"(7, 120, 144)",,,
96,Light,Chart,Text,,Annotation,#842175,"(132, 33, 117)",Arial 11pt,Arial,11
97,Light,Chart,Text,,Axis Label,#000000,"(0, 0, 0)",Arial 11pt,Arial,11
98,Light,Chart,Text,,Axis Value,#525A60,"(82, 90, 96)",Arial 11pt,Arial,11
99,Light,Chart,Text,,Chart Note,#525A60,"(82, 90, 96)",Arial 11pt,Arial,11
100,Light,Chart,Text,,Chart Subtitle,#525A60,"(82, 90, 96)",Arial 11pt,Arial,11
101,Light,Chart,Text,,Chart Title,#000000,"(0, 0, 0)",Arial 14pt,Arial,14
102,Light,Chart,Text,,Data Label,#000000,"(0, 0, 0)",Arial 11pt,Arial,11
103,Light,Dashboard,Text,,Control Header,#525A60,"(82, 90, 96)",Arial 11pt,Arial,11
104,Light,Dashboard,Text,,Dashboard Body Text,#000000,"(0, 0, 0)",Arial 11pt,Arial,11
105,Light,Dashboard,Text,,Dashboard Help Text,#006174,"(0, 97, 116)",Arial 11pt,Arial,11
106,Light,Dashboard,Text,,Dashboard Subtitle,#525A60,"(82, 90, 96)",Arial 16pt,Arial,16
107,Light,Dashboard,Text,,Dashboard Title,#003A70,"(0, 58, 112)",Arial 26pt,Arial,26
108,Light,Dashboard,Text,,Selected Control,#111827,"(17, 24, 39)",Arial 11pt,Arial,11
109,Light,Dashboard,Text,,Unselected Control ,#525A60,"(82, 90, 96)",Arial 11pt,Arial,11
110,Light,Dashboard ,Background,,Control or Filter Background,#FFFFFF,"(255, 255, 255)",,,
111,Light,Dashboard ,Background,,General Background,#FFFFFF,"(255, 255, 255)",,,
112,Dark,Chart,Background,,Chart Background,#17314C,"(23, 49, 76)",,,
113,Dark,Chart,Diverging: 3 Steps, 3 Steps,Step +1,#1E839D,"(30, 131, 157)",,,
114,Dark,Chart,Diverging: 3 Steps, 3 Steps,Step 0,#E8E9E9,"(232, 233, 233)",,,
115,Dark,Chart,Diverging: 3 Steps, 3 Steps,Step -1,#C65450,"(198, 84, 80)",,,
116,Dark,Chart,Diverging: 5 Steps, 5 Steps,Step +1,#90AFBA,"(144, 175, 186)",,,
117,Dark,Chart,Diverging: 5 Steps, 5 Steps,Step +2,#1E839D,"(30, 131, 157)",,,
118,Dark,Chart,Diverging: 5 Steps, 5 Steps,Step 0,#E8E9E9,"(232, 233, 233)",,,
119,Dark,Chart,Diverging: 5 Steps, 5 Steps,Step -1,#D49D99,"(212, 157, 153)",,,
120,Dark,Chart,Diverging: 5 Steps, 5 Steps,Step -2,#C65450,"(198, 84, 80)",,,
121,Dark,Chart,Diverging: 7 Steps, 7 Steps,Step +1,#C4CFD3,"(196, 207, 211)",,,
122,Dark,Chart,Diverging: 7 Steps, 7 Steps,Step +2,#6F9EAD,"(111, 158, 173)",,,
123,Dark,Chart,Diverging: 7 Steps, 7 Steps,Step +3,#1E839D,"(30, 131, 157)",,,
124,Dark,Chart,Diverging: 7 Steps, 7 Steps,Step 0,#E8E9E9,"(232, 233, 233)",,,
125,Dark,Chart,Diverging: 7 Steps, 7 Steps,Step -1,#DBCAC9,"(219, 202, 201)",,,
126,Dark,Chart,Diverging: 7 Steps, 7 Steps,Step -2,#CF837D,"(207, 131, 125)",,,
127,Dark,Chart,Diverging: 7 Steps, 7 Steps,Step -3,#C65450,"(198, 84, 80)",,,
128,Dark,Chart,Diverging: 9 Steps, 9 Steps,Step +1,#D4DADC,"(212, 218, 220)",,,
129,Dark,Chart,Diverging: 9 Steps, 9 Steps,Step +2,#A4BBC3,"(164, 187, 195)",,,
130,Dark,Chart,Diverging: 9 Steps, 9 Steps,Step +3,#5E96A8,"(94, 150, 168)",,,
131,Dark,Chart,Diverging: 9 Steps, 9 Steps,Step +4,#1E839D,"(30, 131, 157)",,,
132,Dark,Chart,Diverging: 9 Steps, 9 Steps,Step 0,#E8E9E9,"(232, 233, 233)",,,
133,Dark,Chart,Diverging: 9 Steps, 9 Steps,Step -1,#DFD8D8,"(223, 216, 216)",,,
134,Dark,Chart,Diverging: 9 Steps, 9 Steps,Step -2,#D6AFAC,"(214, 175, 172)",,,
135,Dark,Chart,Diverging: 9 Steps, 9 Steps,Step -3,#CF837D,"(207, 131, 125)",,,
136,Dark,Chart,Diverging: 9 Steps, 9 Steps,Step -4,#C65450,"(198, 84, 80)",,,
137,Dark,Chart,Diverging: Continuous, Continuous,Begin,#C65450,"(198, 84, 80)",,,
138,Dark,Chart,Diverging: Continuous, Continuous,End,#1E839D,"(30, 131, 157)",,,
139,Dark,Chart,Diverging: Continuous, Continuous,Mid,#E8E9E9,"(232, 233, 233)",,,
140,Dark,Chart,Groups: 2, 2,Cat 1,#557CA0,"(85, 124, 160)",,,
141,Dark,Chart,Groups: 2, 2,Cat 2,#FF9015,"(255, 144, 21)",,,
142,Dark,Chart,Groups: 2, 2,Total/Avg,#969799,"(150, 151, 153)",,,
143,Dark,Chart,Groups: 3, 3,Cat 1,#557CA0,"(85, 124, 160)",,,
144,Dark,Chart,Groups: 3, 3,Cat 2,#FF9015,"(255, 144, 21)",,,
145,Dark,Chart,Groups: 3, 3,Cat 3,#AC5C9F,"(172, 92, 159)",,,
146,Dark,Chart,Groups: 3, 3,Total/Avg,#969799,"(150, 151, 153)",,,
147,Dark,Chart,Groups: 4, 4,Cat 1,#557CA0,"(85, 124, 160)",,,
148,Dark,Chart,Groups: 4, 4,Cat 2,#FF9015,"(255, 144, 21)",,,
149,Dark,Chart,Groups: 4, 4,Cat 3,#AC5C9F,"(172, 92, 159)",,,
150,Dark,Chart,Groups: 4, 4,Cat 4,#518534,"(81, 133, 52)",,,
151,Dark,Chart,Groups: 4, 4,Total/Avg,#969799,"(150, 151, 153)",,,
